chr	locA	locB	strand	gene_Symbol	score
chr2R	7782693	7782914	+	Ef1alpha48D	0
chr2R	7782726	7782830	+	Ef1alpha48D	0
chr2R	7901263	7901629	-	otk	0
chr2R	8152247	8156940	+	Cam	0
chr2R	8335263	8337287	+	Dyb	0
chr2R	8372773	8373815	+	CG12370	0
chr2R	8461310	8461560	-	CG8594	0
chr2R	8466633	8468117	-	Sin3A	0
chr2R	8503506	8503619	-	Galpha49B	0
chr2R	8505299	8505816	+	Galpha49B	0
chr2R	8609809	8610511	+	NA	0
chr2R	8671853	8672247	+	sca	0
chr2R	8758479	8758696	-	bic	0
chr2R	8769487	8769925	+	Aats-asp	0
chr2R	8778971	8780556	+	vg	0
chr2R	8864821	8865726	-	Psc	0
chr2R	8886781	8891888	+	Su(z)2	0
chr2R	8887303	8887889	+	Su(z)2	0
chr2R	8954636	8955741	-	Drl-2	0
chr2R	8954858	8955741	-	Drl-2	0
chr2R	9068494	9070717	-	seq	0
chr2R	9068494	9070739	-	seq	0
chr2R	9072281	9072680	-	CG17724	0
chr2R	9072281	9075413	-	CG17724	0
chr2R	9073288	9075413	-	CG17724	0
chr2R	9073777	9075413	-	CG33182	0
chr2R	9119442	9119552	-	CG4670	0
chr2R	9164948	9165675	-	CG32843	0
chr2R	9224456	9224853	-	NA	0
chr2R	9330438	9332643	-	cnn	0
chr2R	9331932	9332643	-	cnn	0
chr2R	9378939	9379400	-	CG6016	0
chr2R	9389317	9415891	-	drk	0
chr2R	9478104	9479383	-	CG6191	0
chr2R	9593939	9594703	+	fas	0
chr2R	9600633	9606720	+	fas	0
chr2R	9613050	9613783	+	fas	0
chr2R	9701304	9703153	+	stj	0
chr2R	9755660	9755854	-	shot	0
chr2R	9757364	9758843	-	shot	0
chr2R	9758798	9761964	-	shot	0
chr2R	9761303	9761673	-	shot	0
chr2R	9772802	9772955	+	shot	0
chr2R	9777802	9777924	-	shot	0
chr2R	9804358	9805415	-	shot	0
chr2R	9860651	9860778	-	CG6701	0
chr2R	9861171	9861787	-	CG6701	0
chr2R	9897667	9898686	+	mam	0
chr2R	9926214	9928284	+	mam	0
chr2R	9979497	9980006	-	Prosap	0
chr2R	9979497	10001801	-	Prosap	0
chr2R	9979497	10012710	-	Prosap	0
chr2R	10037730	10039431	-	CG8233	0
chr2R	10414671	10442580	+	ttv	0
chr2R	10450515	10450890	+	ttv	0
chr2R	10450515	10452578	+	ttv	0
chr2R	10571053	10572112	-	mspo	0
chr2R	10681006	10681345	-	kn	0
chr2R	10797728	10798877	-	CG10249	0
chr2R	10830703	10831563	+	CG10257	0
chr2R	10848890	10849346	-	aPKC	0
chr2R	10859234	10860261	+	CG12424	0
chr2R	11025606	11027600	+	chn	0
chr2R	11119815	11124010	-	Fs	0
chr2R	11155346	11160893	-	CG34123	0
chr2R	11157037	11159044	-	CG34123	0
chr2R	11157802	11159044	-	CG34123	0
chr2R	11157802	11160113	-	CG34123	0
chr2R	11162043	11162991	-	CG34123	0
chr2R	11165180	11165821	-	CG34123	0
chr2R	11170145	11170518	-	CG34123	0
chr2R	11180277	11181066	-	CG34123	0
chr2R	11244325	11246254	+	unc-5	0
chr2R	11244325	11249805	+	unc-5	0
chr2R	11274135	11274318	+	SRPK	0
chr2R	11297070	11298047	+	CG34365	0
chr2R	11297070	11302734	+	CG34365	0
chr2R	11333465	11344320	+	CG34365	0
chr2R	11340361	11344320	+	CG34365	0
chr2R	11340361	11352191	+	CG34365	0
chr2R	11343939	11344320	+	CG34365	0
chr2R	11343939	11345429	+	CG34365	0
chr2R	11343939	11346772	+	CG34365	0
chr2R	11343939	11352191	+	CG34365	0
chr2R	11404002	11404119	-	Khc-73	0
chr2R	11518214	11525440	+	NA	0
chr2R	11550428	11551939	-	fus	0
chr2R	11570193	11572427	+	Ranbp11	0
chr2R	11571694	11571800	-	Ranbp11	0
chr2R	11619572	11624565	+	CG30089	0
chr2R	11622595	11624565	+	CG30089	0
chr2R	11643452	11646139	+	CG30089	0
chr2R	11645202	11646139	+	CG30089	0
chr2R	11664682	11666051	-	Zasp	0
chr2R	11667562	11668584	-	Zasp	0
chr2R	11771839	11773820	-	sli	0
chr2R	11777794	11778785	-	sli	0
chr2R	11811859	11811964	+	CG8291	0
chr2R	11925556	11925962	+	SP2353	0
chr2R	11925556	11927764	+	SP2353	0
chr2R	11947902	11948007	-	NA	0
chr2R	12019046	12020140	+	spin	0
chr2R	12019046	12021188	+	spin	0
chr2R	12093214	12093584	-	mrj	0
chr2R	12127012	12127197	+	krimp	0
chr2R	12141926	12142936	-	CG15709	0
chr2R	12220538	12220925	-	Vha44	0
chr2R	12286333	12286926	+	CG33960	0
chr2R	12307785	12312156	+	CG33960	0
chr2R	12311542	12312156	+	CG33960	0
chr2R	12468346	12470541	+	Cdk4	0
chr2R	12506308	12507194	+	CG5065	0
chr2R	12585490	12587079	-	CG30463	0
chr2R	12586478	12587079	-	CG30463	0
chr2R	12643391	12645907	-	unc-104	0
chr2R	12646756	12648219	-	unc-104	0
chr2R	12818616	12820083	+	Pkc53E	0
chr2R	12836989	12837217	+	CG34415	0
chr2R	12888130	12888418	-	CG9000	0
chr2R	12900789	12901501	-	CG15609	0
chr2R	12922850	12923912	+	RhoGEF2	0
chr2R	12937513	12938669	+	CG9646	0
chr2R	12959231	12960417	-	CG30460	0
chr2R	12968617	12969354	-	CG30460	0
chr2R	12990016	12991192	+	CG30456	0
chr2R	12997447	12998005	+	CG15611	0
chr2R	13162914	13163568	+	mbl	0
chr2R	13162914	13164283	+	mbl	0
chr2R	13162914	13183381	+	mbl	0
chr2R	13162914	13193542	+	mbl	0
chr2R	13162914	13203643	+	mbl	0
chr2R	13162914	13239810	+	mbl	0
chr2R	13162914	13247062	+	mbl	0
chr2R	13162914	13249602	+	mbl	0
chr2R	13163421	13163541	+	mbl	0
chr2R	13183339	13203643	+	mbl	0
chr2R	13183339	13220146	+	mbl	0
chr2R	13193491	13203643	+	mbl	0
chr2R	13220080	13239810	+	mbl	0
chr2R	13220080	13249602	+	mbl	0
chr2R	13238598	13239810	+	mbl	0
chr2R	13238598	13249602	+	mbl	0
chr2R	13248617	13260666	+	mbl	0
chr2R	13297269	13297500	-	CG30101	0
chr2R	13409210	13409405	-	ssp4	0
chr2R	13410357	13411076	-	ssp4	0
chr2R	13414718	13415610	-	ssp4	0
chr2R	13418551	13419687	-	ssp4	0
chr2R	13425100	13425241	-	eIF3-S9	0
chr2R	13425148	13425272	+	eIF3-S9	0
chr2R	13425283	13425478	-	eIF3-S9	0
chr2R	13425558	13425840	+	eIF3-S9	0
chr2R	13425558	13425888	+	eIF3-S9	0
chr2R	13426470	13426592	-	eIF3-S9	0
chr2R	13426481	13426592	-	eIF3-S9	0
chr2R	13426485	13426592	-	eIF3-S9	0
chr2R	13426489	13426592	-	eIF3-S9	0
chr2R	13498819	13502640	-	CG10936	0
chr2R	13556282	13556408	-	eIF3-S8	0
chr2R	13593858	13595550	-	CG6424	0
chr2R	13652151	13652255	+	CG6370	0
chr2R	13653524	13653719	-	CG6370	0
chr2R	13695603	13697159	+	grh	0
chr2R	13714638	13715514	+	grh	0
chr2R	13714638	13719270	+	grh	0
chr2R	13726546	13727294	+	grh	0
chr2R	13789212	13789584	+	elk	0
chr2R	13789212	13791184	+	elk	0
chr2R	13866292	13867045	-	dpr13	0
chr2R	14032846	14033309	+	pAbp	0
chr2R	14033515	14033729	+	pAbp	0
chr2R	14304511	14304829	+	Dp1	0
chr2R	14304541	14304696	+	Dp1	0
chr2R	14304871	14304979	+	Dp1	0
chr2R	14305813	14306043	+	Dp1	0
chr2R	14307180	14307633	+	Dp1	0
chr2R	14318677	14320280	-	CG30118	0
chr2R	14319949	14320280	-	CG30118	0
chr2R	14357006	14358481	-	CG30116	0
chr2R	14523647	14526122	-	CG30122	0
chr2R	14727502	14727615	+	CG15099	0
chr2R	14881423	14882651	+	abba	0
chr2R	14888596	14889294	+	abba	0
chr2R	14913382	14914812	-	5-HT1B	0
chr2R	14977358	14984014	+	5-HT1A	0
chr2R	14981544	14984014	+	5-HT1A	0
chr2R	14996256	14996653	+	5-HT1A	0
chr2R	15046238	15046857	+	ena	0
chr2R	15046238	15067363	+	ena	0
chr2R	15063692	15064248	+	CG10737	0
chr2R	15063752	15064248	+	CG10737	0
chr2R	15099360	15099781	+	CG7097	0
chr2R	15103925	15104546	+	CG7097	0
chr2R	15103925	15105699	+	CG7097	0
chr2R	15124446	15125939	+	cora	0
chr2R	15186674	15188304	+	Tab2	0
chr2R	15205046	15207191	-	Rgk1	0
chr2R	15236757	15237416	-	NA	0
chr2R	15285128	15286598	-	hts	0
chr2R	15295345	15296098	-	hts	0
chr2R	15330434	15330958	+	RpL11	0
chr2R	15335517	15335811	+	betaTub56D	0
chr2R	15347299	15348121	+	par-1	0
chr2R	15358101	15359241	+	par-1	0
chr2R	15358101	15359250	+	par-1	0
chr2R	15358101	15361472	+	par-1	0
chr2R	15365120	15366370	+	par-1	0
chr2R	15370456	15371712	+	par-1	0
chr2R	15370456	15371925	+	par-1	0
chr2R	15419674	15420216	-	sm	0
chr2R	15419674	15425716	-	sm	0
chr2R	15425280	15425716	-	sm	0
chr2R	15425280	15452017	-	sm	0
chr2R	15433516	15452017	-	sm	0
chr2R	15461492	15461831	-	sm	0
chr2R	15461507	15461831	-	sm	0
chr2R	15515985	15516575	-	sm	0
chr2R	16200524	16201366	-	CG13868	0
chr2R	16354313	16357625	+	CG12484	0
chr2R	16356970	16357625	+	CG12484	0
chr2R	16483061	16483319	+	bl	0
chr2R	16483061	16486199	+	bl	0
chr2R	16500569	16500976	-	Hil	0
chr2R	16500569	16502438	-	Hil	0
chr2R	16530428	16530591	-	CG33785	0
chr2R	16613549	16621955	+	dpr	0
chr2R	16621674	16621955	+	dpr	0
chr2R	16633289	16633607	+	dpr	0
chr2R	16633289	16635027	+	dpr	0
chr2R	16762742	16764126	+	Ipk1	0
chr2R	16845764	16846350	-	hbn	0
chr2R	16907591	16910670	+	CG30296	0
chr2R	17025730	17026737	-	Magi	0
chr2R	17053063	17053379	-	CG4266	0
chr2R	17075151	17075361	+	tud	0
chr2R	17079528	17079696	-	tud	0
chr2R	17092117	17093046	+	Glycogenin	0
chr2R	17158265	17159791	+	Rgk3	0
chr2R	17158265	17164111	+	Rgk3	0
chr2R	17251203	17254470	-	cv-2	0
chr2R	17348380	17348864	-	Sdc	0
chr2R	17397610	17399682	+	MESK2	0
chr2R	17397622	17399682	+	MESK2	0
chr2R	17398371	17399682	+	MESK2	0
chr2R	17398371	17401823	+	MESK2	0
chr2R	17537615	17538297	+	CG10082	0
chr2R	17537615	17540068	+	CG10082	0
chr2R	17809021	17817855	+	Fili	0
chr2R	17816906	17817855	+	Fili	0
chr2R	17882118	17882614	-	CG34370	0
chr2R	17886305	17888311	-	CG34370	0
chr2R	17908130	17908376	-	CG34370	0
chr2R	17998832	18000093	-	Vrp1	0
chr2R	18050409	18051199	+	a	0
chr2R	18050409	18052494	+	a	0
chr2R	18150269	18150948	+	dve	0
chr2R	18168171	18168724	+	dve	0
chr2R	18226305	18229100	-	CG11206	0
chr2R	18226305	18230235	-	CG11206	0
chr2R	18226305	18232798	-	CG11206	0
chr2R	18228081	18232798	-	CG11206	0
chr2R	18232218	18232798	-	CG11206	0
chr2R	18232218	18234214	-	CG11206	0
chr2R	18233548	18234526	-	CG11206	0
chr2R	18347572	18354452	+	CG10384	0
chr2R	18353982	18354452	+	CG10384	0
chr2R	18382861	18383903	-	NA	0
chr2R	18422349	18444299	-	px	0
chr2R	18427941	18428482	-	px	0
chr2R	18442722	18444299	-	px	0
chr2R	18453199	18454194	-	Dnr1	0
chr2R	18507309	18509805	+	CG33143	0
chr2R	18515304	18516062	+	CG33143	0
chr2R	18515310	18516062	+	CG33143	0
chr2R	18611441	18615190	-	jbug	0
chr2R	18611441	18615195	-	jbug	0
chr2R	18645369	18646910	-	CG42260	0
chr2R	18710542	18712267	+	CG42284	0
chr2R	18765678	18767565	+	PIP5K59B	0
chr2R	18765678	18767741	+	PIP5K59B	0
chr2R	18767084	18767741	+	PIP5K59B	0
chr2R	18882010	18884035	-	CG9896	0
chr2R	19060009	19060528	-	CG34371	0
chr2R	19078647	19079127	-	CG34371	0
chr2R	19368954	19370006	+	CG34372	0
chr2R	19371583	19372916	+	CG34372	0
chr2R	19529761	19530795	+	retn	0
chr2R	19552816	19553558	+	Pde8	0
chr2R	19552816	19559611	+	Pde8	0
chr2R	19562877	19563511	+	Pde8	0
chr2R	19593302	19593524	-	l(2)not	0
chr2R	19609732	19610398	+	CG11299	0
chr2R	19609732	19616757	+	CG11299	0
chr2R	19616571	19619743	+	CG11299	0
chr2R	19616571	19620026	+	CG11299	0
chr2R	19643886	19648197	-	CG9850	0
chr2R	19673434	19673878	-	CG9850	0
chr2R	19717490	19718157	+	CG5549	0
chr2R	19792836	19792947	-	Nap1	0
chr2R	19899790	19900558	-	Unc-89	0
chr2R	19899790	19900561	-	Unc-89	0
chr2R	19946593	19946854	+	eIF-5A	0
chr2R	20310431	20313524	-	prom	0
chr2R	20370562	20371917	+	CG13579	0
chr2R	20476269	20476948	+	pio	0
chr2R	20479474	20479822	+	pio	0
chr2R	20659247	20660318	-	Eps-15	0
chr2R	20705116	20707530	+	Dll	0
chr2R	20770153	20771135	+	CG34413	0
chr2R	20781606	20782129	+	NaCP60E	0
chr2R	20781606	20788578	+	NaCP60E	0
chr2R	20801198	20802065	+	NaCP60E	0
chr2R	20821580	20822358	-	CG30427	0
chr2R	20848452	20849270	-	CG2765	0
chr2R	20848642	20849270	-	CG2765	0
chr2R	20889810	20893606	-	zip	0
chr2RHet	53448	56006	-	CG40498	0
chr2RHet	88247	88374	+	CG41254	0
chr2RHet	200985	232695	+	rl	0
chr2RHet	203348	203701	+	rl	0
chr2RHet	203348	207155	+	rl	0
chr2RHet	203348	232695	+	rl	0
chr2RHet	494132	495242	+	CG41265	0
chr2RHet	796082	796677	-	CG17684	0
chr2RHet	796082	862303	-	CG17684	0
chr2RHet	796082	947223	-	CG17684	0
chr2RHet	862035	864597	-	CG17684	0
chr2RHet	1264621	1265686	-	CG40263	0
chr2RHet	1291241	1293393	-	CG40263	0
chr2RHet	1292103	1293393	-	CG40263	0
chr2RHet	2799749	2800714	+	CG17514	0
chr2RHet	2816483	2816693	+	CG17514	0
chr2RHet	2817139	2817446	-	CG17514	0
chr2RHet	2818020	2818161	+	CG17514	0
chr2RHet	2818704	2818889	-	CG17514	0
chr2RHet	2818893	2818998	-	CG17514	0
chr2RHet	2820516	2820633	-	CG17514	0
chr2RHet	2820529	2820633	-	CG17514	0
chr2RHet	2820626	2820923	+	CG17514	0
chr2RHet	2902093	2915524	+	eIF-4B	0
chr2RHet	2912543	2915524	+	eIF-4B	0
chr2RHet	3136954	3137488	-	CG40084	0
chr2RHet	3154308	3155512	-	CG40084	0
chr2RHet	3154308	3155516	-	CG40084	0
chr2RHet	3154308	3169621	-	CG40084	0
chr2RHet	3154828	3154946	+	CG40084	0
chr2RHet	3169168	3169621	-	CG40084	0
chr2RHet	3169168	3175043	-	CG40084	0
chr2RHet	3169314	3169621	-	CG40084	0
chr2RHet	3174709	3175043	-	CG40084	0
chr2RHet	3215005	3215562	+	Haspin	0
chr3L	135457	136335	+	Pk61C	0
chr3L	310276	311285	-	fwd	0
chr3L	311173	314317	-	fwd	0
chr3L	313023	314317	-	fwd	0
chr3L	370606	371507	-	trh	0
chr3L	443219	445911	-	klar	0
chr3L	462180	462558	-	klar	0
chr3L	479668	481336	-	klar	0
chr3L	505886	506356	-	klar	0
chr3L	505886	508799	-	klar	0
chr3L	505886	514705	-	klar	0
chr3L	507974	508799	-	klar	0
chr3L	529082	529375	-	klar	0
chr3L	547481	548067	+	CG17090	0
chr3L	547481	552270	+	CG17090	0
chr3L	569526	572545	+	CG17090	0
chr3L	573055	574185	+	CG17090	0
chr3L	575317	575458	-	CG17090	0
chr3L	575459	575573	-	CG17090	0
chr3L	576261	576370	-	NA	0
chr3L	576573	576916	-	NA	0
chr3L	577366	577534	+	NA	0
chr3L	621633	622310	-	NA	0
chr3L	650886	651182	-	CG12030	0
chr3L	778478	779105	+	NA	0
chr3L	872090	872233	+	CG32479	0
chr3L	973635	974300	+	Glut1	0
chr3L	973635	975062	+	Glut1	0
chr3L	980950	986044	+	Glut1	0
chr3L	984136	984276	+	Glut1	0
chr3L	1000692	1000943	-	trio	0
chr3L	1003395	1003821	-	trio	0
chr3L	1003395	1009739	-	trio	0
chr3L	1009321	1009739	-	trio	0
chr3L	1172757	1174607	-	bab2	0
chr3L	1283649	1285110	+	CG32333	0
chr3L	1283649	1288238	+	CG32333	0
chr3L	1526659	1528076	-	CG12090	0
chr3L	1527189	1528076	-	CG12090	0
chr3L	1572968	1573764	+	CG12004	0
chr3L	1698646	1699316	+	NA	0
chr3L	1718705	1720169	-	drpr	0
chr3L	1723579	1724225	-	drpr	0
chr3L	1784906	1789101	-	alpha-Spec	0
chr3L	1805009	1805708	+	CG13923	0
chr3L	1821213	1822098	+	GV1	0
chr3L	2078962	2079803	-	sls	0
chr3L	2406719	2407144	+	CG13800	0
chr3L	2408018	2408299	+	CG13800	0
chr3L	2408018	2408387	+	CG13800	0
chr3L	2415390	2435132	+	CG32306	0
chr3L	2415390	2439830	+	CG32306	0
chr3L	2434625	2435132	+	CG32306	0
chr3L	2434625	2436228	+	CG32306	0
chr3L	2434625	2439830	+	CG32306	0
chr3L	2443389	2461268	+	CG32306	0
chr3L	2444498	2461268	+	CG32306	0
chr3L	2459590	2461268	+	CG32306	0
chr3L	2484563	2485228	+	CG33232	0
chr3L	2509363	2510557	-	Spn	0
chr3L	2511162	2511763	-	Spn	0
chr3L	2511162	2511931	-	Spn	0
chr3L	2524598	2525718	-	Spn	0
chr3L	2534710	2536218	-	Spn	0
chr3L	2534710	2541403	-	Spn	0
chr3L	2540976	2541403	-	Spn	0
chr3L	2556200	2556314	-	msn	0
chr3L	2556210	2556358	-	msn	0
chr3L	2563817	2564695	-	msn	0
chr3L	2588236	2588515	+	RpL8	0
chr3L	2588679	2588869	+	RpL8	0
chr3L	2607692	2608644	-	Pxn	0
chr3L	2607692	2612003	-	Pxn	0
chr3L	2610493	2612003	-	Pxn	0
chr3L	2633537	2633809	+	CG1244	0
chr3L	2664917	2667058	-	CG16976	0
chr3L	2665910	2667058	-	CG16976	0
chr3L	2678537	2682561	-	CG12187	0
chr3L	2678537	2684688	-	CG12187	0
chr3L	2682220	2684688	-	CG12187	0
chr3L	2728419	2729469	-	Mrtf	0
chr3L	2820058	2821707	-	NA	0
chr3L	2885895	2889245	-	CG9972	0
chr3L	2947801	2952107	+	Shab	0
chr3L	3036490	3036901	+	CG2162	0
chr3L	3057429	3058124	-	CG32486	0
chr3L	3060944	3073478	+	CG11486	0
chr3L	3060950	3073478	+	CG11486	0
chr3L	3083732	3086514	+	CG11486	0
chr3L	3118406	3118643	+	prominin-like	0
chr3L	3163101	3163364	-	rasp	0
chr3L	3195186	3195301	+	Hsp83	0
chr3L	3195186	3195385	+	Hsp83	0
chr3L	3195392	3195556	-	Hsp83	0
chr3L	3196755	3196908	+	Hsp83	0
chr3L	3234295	3234464	-	NA	0
chr3L	3234522	3234715	+	NA	0
chr3L	3236017	3236124	+	NA	0
chr3L	3310519	3310896	+	ZnT63C	0
chr3L	3327881	3328348	+	PHGPx	0
chr3L	3443457	3445560	-	eIF5B	0
chr3L	3443457	3447724	-	eIF5B	0
chr3L	3578288	3578480	+	Eip63E	0
chr3L	3578288	3588080	+	Eip63E	0
chr3L	3578288	3593546	+	Eip63E	0
chr3L	3578288	3594742	+	Eip63E	0
chr3L	3578288	3598621	+	Eip63E	0
chr3L	3588041	3594742	+	Eip63E	0
chr3L	3593328	3594742	+	Eip63E	0
chr3L	3593328	3600491	+	Eip63E	0
chr3L	3594650	3598621	+	Eip63E	0
chr3L	3594650	3600491	+	Eip63E	0
chr3L	3652714	3653686	+	CG12029	0
chr3L	3718195	3718990	-	CG32264	0
chr3L	3721536	3723105	-	CG32264	0
chr3L	3722155	3723105	-	CG32264	0
chr3L	3722155	3723872	-	CG32264	0
chr3L	3722859	3723105	-	CG32264	0
chr3L	3767136	3769406	-	CG32264	0
chr3L	3767136	3781412	-	CG32264	0
chr3L	3767136	3803454	-	CG32264	0
chr3L	3769077	3769406	-	CG32264	0
chr3L	3780422	3781412	-	CG32264	0
chr3L	4097506	4098199	-	CG14995	0
chr3L	4180730	4182873	-	Teh2	0
chr3L	4324921	4325410	-	Cip4	0
chr3L	4326983	4327917	-	Cip4	0
chr3L	4390449	4391221	+	CG7447	0
chr3L	4524071	4524706	-	Tie	0
chr3L	4563796	4588124	+	CG32245	0
chr3L	4577916	4580159	+	CG32245	0
chr3L	4598153	4599005	-	Src64B	0
chr3L	4659479	4660409	-	axo	0
chr3L	4664126	4664953	-	axo	0
chr3L	4664126	4675947	-	axo	0
chr3L	4670117	4673392	-	axo	0
chr3L	4670117	4675947	-	axo	0
chr3L	4673172	4675947	-	axo	0
chr3L	4674955	4675947	-	axo	0
chr3L	4751963	4753381	+	Gef64C	0
chr3L	4751963	4767056	+	Gef64C	0
chr3L	4764521	4767056	+	Gef64C	0
chr3L	4789121	4792612	+	Gef64C	0
chr3L	4912671	4913956	+	Rh50	0
chr3L	4987076	4988264	-	NA	0
chr3L	5152374	5152513	-	NA	0
chr3L	5155555	5160159	-	shep	0
chr3L	5156066	5160159	-	shep	0
chr3L	5186283	5186914	-	shep	0
chr3L	5424731	5426955	+	CG34391	0
chr3L	5637186	5637951	+	Blimp-1	0
chr3L	5652528	5652781	+	NA	0
chr3L	5652528	5666365	+	sif	0
chr3L	5665154	5666365	+	sif	0
chr3L	5697024	5698341	+	sif	0
chr3L	5697024	5699673	+	sif	0
chr3L	5697024	5709379	+	sif	0
chr3L	5697024	5710838	+	sif	0
chr3L	5698061	5699673	+	sif	0
chr3L	5727538	5729194	+	sif	0
chr3L	5727565	5729194	+	sif	0
chr3L	5728825	5729194	+	sif	0
chr3L	5753481	5753828	-	Ubp64E	0
chr3L	5756147	5756876	-	CG10576	0
chr3L	5764717	5767176	+	Usp36	0
chr3L	5810634	5811386	-	vn	0
chr3L	6012169	6012957	+	CG32406	0
chr3L	6197065	6197266	+	LanA	0
chr3L	6199815	6199990	+	LanA	0
chr3L	6199987	6200476	-	LanA	0
chr3L	6200713	6200854	-	LanA	0
chr3L	6203082	6203379	+	LanA	0
chr3L	6203706	6204442	-	LanA	0
chr3L	6203879	6204098	+	LanA	0
chr3L	6203954	6204092	+	LanA	0
chr3L	6454657	6455150	+	CG14910	0
chr3L	6516129	6517196	+	sfl	0
chr3L	6555421	6555939	+	CG18769	0
chr3L	6563977	6565222	-	CG32397	0
chr3L	6731803	6733021	-	CG32394	0
chr3L	7031104	7038455	+	CG33171	0
chr3L	7104163	7104901	+	form3	0
chr3L	7172822	7177055	-	CG42256	0
chr3L	7438266	7438879	+	CG42458	0
chr3L	7506917	7507454	+	CG7546	0
chr3L	7595887	7597062	+	CG33275	0
chr3L	7609207	7610702	+	CG33275	0
chr3L	7617697	7619096	+	CG33275	0
chr3L	7649474	7654606	-	Ank2	0
chr3L	7655080	7655990	-	Ank2	0
chr3L	7655570	7655990	-	Ank2	0
chr3L	7655570	7656424	-	Ank2	0
chr3L	7796368	7797807	-	CG32369	0
chr3L	7924854	7926334	-	syd	0
chr3L	7925137	7926334	-	syd	0
chr3L	7925400	7926334	-	syd	0
chr3L	8064051	8065593	+	CG13681	0
chr3L	8086158	8092636	+	Ect4	0
chr3L	8091445	8092636	+	Ect4	0
chr3L	8099115	8100049	+	Ect4	0
chr3L	8180578	8181680	+	Atg18	0
chr3L	8247964	8248718	+	CG42330	0
chr3L	8247964	8253890	+	CG42330	0
chr3L	8253421	8253890	+	CG42330	0
chr3L	8253421	8256219	+	CG42330	0
chr3L	8259446	8260173	+	CG42330	0
chr3L	8266275	8268767	+	CG42330	0
chr3L	8462509	8462782	+	Gug	0
chr3L	8462509	8462791	+	Gug	0
chr3L	8462509	8463583	+	Gug	0
chr3L	8548830	8549071	+	NA	0
chr3L	8548830	8549081	+	NA	0
chr3L	8548830	8562101	+	rhea	0
chr3L	8554458	8556288	+	rhea	0
chr3L	8554458	8562101	+	rhea	0
chr3L	8566785	8566987	-	rhea	0
chr3L	8579070	8581918	+	CG32352	0
chr3L	8620060	8620830	+	CG6416	0
chr3L	8628780	8630698	+	CG6416	0
chr3L	8712460	8712860	+	SrpRbeta	0
chr3L	8783269	8790326	+	Fhos	0
chr3L	8919173	8919894	+	Tsp66E	0
chr3L	8919173	8921244	+	Tsp66E	0
chr3L	8940927	8942859	-	orb2	0
chr3L	8941982	8942850	-	orb2	0
chr3L	8941982	8942859	-	orb2	0
chr3L	9100053	9101291	-	bol	0
chr3L	9101055	9101291	-	bol	0
chr3L	9101055	9123178	-	bol	0
chr3L	9105733	9106587	-	bol	0
chr3L	9151040	9156074	-	Rdl	0
chr3L	9152709	9156074	-	Rdl	0
chr3L	9249246	9252054	+	Glu-RIB	0
chr3L	9259414	9260267	+	Glu-RIB	0
chr3L	9405901	9406034	-	CG3689	0
chr3L	9410751	9412371	-	CG3967	0
chr3L	9411443	9412371	-	CG3967	0
chr3L	9466227	9467600	+	CG14180	0
chr3L	9488642	9488903	+	path	0
chr3L	9492121	9492314	-	path	0
chr3L	9546001	9546636	+	CG32048	0
chr3L	9585185	9585556	+	CG32048	0
chr3L	9653741	9657344	-	fry	0
chr3L	9656042	9657344	-	fry	0
chr3L	9679464	9682548	-	CG6767	0
chr3L	9710025	9710685	+	vsg	0
chr3L	9730027	9731378	-	CG42268	0
chr3L	9730228	9731378	-	CG42268	0
chr3L	9772545	9774318	+	CG8177	0
chr3L	9948480	9954886	+	CG34356	0
chr3L	9996683	9997201	+	dpr6	0
chr3L	10029745	10030571	+	dpr6	0
chr3L	10326171	10326388	-	NA	0
chr3L	10499169	10499663	+	NA	0
chr3L	10561228	10561705	+	CG32062	0
chr3L	10568418	10569575	+	CG32062	0
chr3L	10568418	10570424	+	CG32062	0
chr3L	10577915	10578639	+	CG32062	0
chr3L	10639962	10652768	-	CG32066	0
chr3L	10888334	10888444	+	NA	0
chr3L	11078528	11078808	-	JIL-1	0
chr3L	11143972	11144657	+	CG32082	0
chr3L	11159285	11159402	-	Alg10	0
chr3L	11282012	11282754	-	CG6175	0
chr3L	11534877	11535934	-	Mob2	0
chr3L	11627713	11628291	+	CG32091	0
chr3L	11645093	11646172	+	CG32085	0
chr3L	11661294	11668765	-	CG32085	0
chr3L	11667367	11668765	-	CG32085	0
chr3L	11667367	11668841	-	CG32085	0
chr3L	11811187	11812007	-	CG5946	0
chr3L	11824826	11825343	-	CycA	0
chr3L	12020121	12021978	-	rols	0
chr3L	12136901	12137234	+	CG5642	0
chr3L	12137024	12137351	+	CG5642	0
chr3L	12208717	12209679	-	CG42318	0
chr3L	12213077	12214382	-	CG42318	0
chr3L	12372238	12372744	-	Ncc69	0
chr3L	12405110	12407186	-	CG32103	0
chr3L	12510527	12511767	+	tral	0
chr3L	12844408	12845377	+	CG11009	0
chr3L	12844486	12845377	+	CG11009	0
chr3L	13036671	13036952	-	RpS4	0
chr3L	13474132	13475998	+	stv	0
chr3L	13534588	13577371	-	bru-3	0
chr3L	13577291	13595576	-	bru-3	0
chr3L	13595441	13601946	-	bru-3	0
chr3L	13869477	13876435	-	CG34400	0
chr3L	13883914	13885180	-	CG34400	0
chr3L	13978220	13979268	-	CG17364	0
chr3L	14032147	14033694	+	Hsc70Cb	0
chr3L	14193044	14193907	+	nuf	0
chr3L	14193044	14194766	+	nuf	0
chr3L	14205293	14206303	+	nuf	0
chr3L	14297996	14310437	+	fz	0
